codigo_depto;Codigo DANE del departamento.;
codigo_provincia;Codigo DANE de la provincia.;
departamento;Nombre del departamento.;
municipio;Nombre del municipio.;
codigo;Código DANE del municipio.;
anno;Año de la observación.;
pob_total;Población total.;
formal_rate;Proporción entre el número de persona en la planilla integrada de liquidación y aportes (PILA) y la población municipal.;
vacancy_rate;Proporción entre el número de ofertas en el servicio público de empleo (SPE) y la población municipal.;
ruralidad;Proporción entre la población en areas rurales o resto municipal y población municipal.;
t_crea;Años concurridos desde la fecha de creación del municipio.;
altura;Altura sobre el nivel del mar del municipio (metros);
areakm2;Area del municipio en kilometros cuadrados;
gandina;Variable binaria que indica si el municipio se encuentra en la región Andina.;
gcaribe;Variable binaria que indica si el municipio se encuentra en la región Caribe;
gpacifica;Variable binaria que indica si el municipio se encuentra en la región Pacífica.;
gorinoquia;Variable binaria que indica si el municipio se encuentra en la región Orinoquía.;La población en edad de trabajar se calculo como personas mayores de 12 años en zonas urbanas y mayores a 10 años en zonas rurales, siguiendo la definición del DANE antes del 2023.
gamazonia;Variable binaria que indica si el municipio se encuentra en la región de la Amazonia.;La población en edad de trabajar se calculo como personas mayores de 12 años en zonas urbanas y mayores a 10 años en zonas rurales, siguiendo la definición del DANE antes del 2023.
pruralpet;Proporción de la población rural en edad de trabajar sobre la poblacion en edad de trabajar total del municipio.;La población dependiente se calculo como aquellas personas menores a 12 o mayores a 65 años, guiados por la definición del DANE.
pmujerpet;Proporción de las mujeres en edad de trabajar sobre la poblacion en edad de trabajar total del municipio.;
pdependiente;Proporcion de personas dependientes sobre el total de personas independientes. ;
salario_bas;Media del salario en el municipio en pesos colombianos.;
pregimen_subsidiado;Proporcion entre la población en el regimen subsidiado y la población total del municipio.;
regimen_subsidiado;Número de personas del municipio inscritas al régimen subsidiado.;
promleccri;Promedio municipal del puntaje en lectura critica de las pruebas icfes.;
prommatema;Promedio municipal del puntaje en Matematicas de las pruebas icfes.;
promglobal;Promedio municipal del puntaje global de las pruebas icfes.;
vab;Valor agregado municipal en miles de millones de pesos colombianos.;
va_actividad_primaria;Valor agregado de las actividades del primario secundario a nivel municipal en miles de millones de pesos colombianos.;
va_actividad_secundaria;Valor agregado de las actividades del sector secundario a nivel municipal en miles de millones de pesos colombianos.;
va_actividad_terciaria;Valor agregado de las actividades del sector terciario a nivel municipal en miles de millones de pesos colombianos.;
vabpc;Proporción entre el valor agragado y la población del municipio.;
pprimary;Proporción entre el valor agregado de las actividades del sector primario y el valor agregado total del municipio.;
psecondary;Proporción entre el valor agregado de las actividades del sector secundario y el valor agregado total del municipio.;
pterciary;Proporción entre el valor agregado de las actividades del sector terciario y el valor agregado total del municipio.;
disbogota;Distancia lineal entre el municipio y Bogotá en kilometros.;
dismdo;Distancia lineal al principal mercado mayorista de alimentos del departamento en kilometros.;
distancia_mercado;Distancia lineal a otros mercados cercanos en kilometros.;
pgroup1;Proporción de hombres entre 14 y 24 años en el municipio.;
pgroup2;Proporción de hombres entre 25 y 54 años en el municipio.;
pgroup3;Proporción de hombres mayores a 54 en el municipio.;
pgroup4;Proporción de mujeres entre 14 y 24 años en el municipio.;
pgroup5;Proporción de mujeres entre 25 y 54 años en el municipio.;
pgroup6;Proporción de mujeres mayores a 54 en el municipio.;
informalidad;Estimado de informalidad utilizando la Gran Encuesta Integrada de Hogares (GEIH) para los municipios donde es representativa.;
informalidad_var;Varianza del estimado de informalidad obtenida usando la GEIH.;
fharcsin_est;Estimado de informalidad obtenido utilizando el metodo de estimación a pequeña escala con estimadores Fay-Herriot transformados con arcoseno.;
fh_benchmark;Estimado de informalidad obtenido utilizando el metodo de estimación a pequeña escala con estimadores Fay-Herriot .;
MERF_resultados;Estimados de informalidad obtenido utilizando el metodo de bosque aleatorio de efectos mixtos (MERF por sus siglas en ingles).;
lisa_clusters;Nombre del cluster LISA al cual pertenece el municipio.;
lisa_clusters_nombres;Codigo del cluster LISA al cual pertenece el municipio.;
